Product Name,SKU
ESP32-S3 SuperMini Development Board,0631
3.3V-5V MICRO:BIT Expansion Board,0630
ESP32-C3 Super Mini Development Board (ESP32-C3 with Flash Memory welded),0628
ESP32-C3 Super Mini Development Board (ESP32-C3 Built-in 4M Flash Memory),0629
WROOM-32D/U ESP32-DevKitC Development Board (WROOM-32D),0626
WROOM-32D/U ESP32-DevKitC Development Board (WROOM-32U),0627
TTGO T-Call V1.3 ESP32 SIM800H Wireless Module,0625
ST7789 1.3 Inch TFT LCD Module,0624
Micro:Bit GPIO Expansion Board,0623
FDFN1.25-250 Cold-pressed Nylon Insulated Terminal Block,0622
ESP32-S3 GPIO Expansion Board,0621
500pcs 5MM LED Box Kit(Red/Yellow/Blue/Green/ White),0620
300pcs 3mm/5mm LED Light Set (White/Yellow/Red/Green/Blue),0619
PN532 NFC RFID V3 Module,0618
UNO R3 New Starter Kit,0617
Teensy 4.1 (Headers),DEV-16996
"Teensy 4.1, Lockable",DEV-28369
Teensy 4.1 without Ethernet,DEV-20359
Raspberry Pi AI HAT+ (26 TOPS),DEV-27249
ACR122U-A9 USB NFC Card Reader Writer - 13.56MHz RFID Smart Card Reader,1030
XH2.54mm Terminal Connector Kit (230PCS),1028
XH2.54mm Terminal Connector Kit (1270PCS),1029
UNO R3 Complete Project Starter Kit,1138
UNO R3 Basic Starter Learning Kit,1137
Mega 2560 R3 Starter Learning Kit,1135
Arduino UNO R3 Starter Kit with Sensors,1134
Mega 2560 R3 Ultimate Starter Kit,1133
Arduino UNO R3 CH340 Complete Starter Kit for Electronics Projects,1132
Pololu 12V Step-Up Voltage Regulator U3V70F12 - High-Power Boost,POL2895
Silicone Shell for Microbit V2 Development Board (Green),1126
Silicone Shell for Microbit V2 Development Board (Yellow),1129
Silicone Shell for Microbit V2 Development Board (Light blue),1130
PVC Cutting Mat Durable Cut Pad A2 A3 A4 (A2 (45*60 cm)),1122
PVC Cutting Mat Durable Cut Pad A2 A3 A4 (A3 (30*45 cm)),1123
PVC Cutting Mat Durable Cut Pad A2 A3 A4 (A4 (22*30 cm)),1124
micro:bit Advanced Learning Kit with micro:bit (Advanced learning kit(without microbit)),1119
micro:bit Advanced Learning Kit with micro:bit (Enhanced learning kit(without microbit)),1120
micro:bit Advanced Learning Kit with micro:bit (Basic starter kit(without microbit)),1121
micro:bit Advanced Learning Kit with micro:bit (Advanced learning kit(with microbit)),1118
Microbit Smart Car Kit,1117
Microbit Motor Driver Expansion Board,1116
SparkFun Spectral Sensor Breakout - AS7263 NIR (Qwiic),SEN-14351
NVIDIA Jetson Orin™ Nano Super Developer Kit,DEV-22098
SUNLU PLA Filament 1.75mm 1kg (Black),1112
SUNLU PLA Filament 1.75mm 1kg (White),N/A
SUNLU PETG Filament 1.75mm 1kg (Black),1111
SUNLU PETG Filament 1.75mm 1kg (White),N/A
Teensy 4.1 without Ethernet (Headers),DEV-20360
SparkFun GPS-RTK2 Board - ZED-F9P (Qwiic),GPS-15136
TT Gear Motor DC 3V–6V Dual Shaft 1:48 with 20cm Wire for Smart Robot Car,2022
SparkFun GPS Dead Reckoning Breakout - NEO-M8U (Qwiic),GPS-16329
LIDAR-Lite v3HP,SEN-14599
HackRF Pro,WRL-29523
Switching Power Supply 5v 30A,9437
"Adafruit STCC4 and SHT41 - CO2, Temperature & Humidity Sensor - STEMMA QT / Qwiic",6478
STEMMA QT / Qwiic JST SH 4-pin Cable - 100mm Long,4210
SUNLU PLA+ 2.0 Filament 1.75mm 1kg (Black),1113
SUNLU PLA+ 2.0 Filament 1.75mm 1kg (White),1114
SUNLU PLA+ 2.0 Filament 1.75mm 1kg (Grey),1115
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (1 BIT (CIRCLE 5PCS)),AD028
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (4 BITS ( SQUARE )),4 BITS ( SQUARE )
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (7 BITS ( CIRCLE )),7 BITS ( CIRCLE )
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (8 BITS ( CIRCLE )),8 BITS ( CIRCLE )
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (12 BITS ( CIRCLE )),12 BITS ( CIRCLE )
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (16 BITS ( CIRCLE )),16 BITS ( CIRCLE )
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (3 BITS ( CIRCLE )),3 BITS ( CIRCLE )
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (32 BITS ( CIRCLE )),32 BITS ( CIRCLE )
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (24 BITS ( CIRCLE )),24 BITS ( CIRCLE )
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (16 BITS ( SQUARE )),16 BITS ( SQUARE )
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (64 BITS ( SQUARE )),64 BITS ( SQUARE )
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (40 BITS),40 BITS
WS2812 5050 RGB LED Breakout Module Addressable NeoPixel-Compatible (25 BITS ( SQUARE )),25 BITS ( SQUARE )
Miniware TS80P USB-C Smart Soldering Iron - 30W OLED PD/QC3.0,TS80P
Atlas Scientific Conductivity Calibration K 10 Solution Set,chem-EC-10
Atlas Scientific EZO Dissolved Oxygen Measurement Circuit,EZO-DO
Atlas Scientific Surveyor Analog Temperature Kit - PT-1000 RTD,KIT-304
Atlas Scientific Industrial Dissolved Oxygen Probe - Galvanic,ENV-50-DO
Atlas Scientific Male BNC to Male SMA Connector Adapters 5-Pack,C-MB-MS
Atlas Scientific EZO Complete Conductivity Kit - Digital EC Sensor,KIT-105E
Atlas Scientific Industrial pH Probe with Temperature Sensor,ENV-50-pH
Atlas Scientific Surveyor Analog ORP Sensor/Meter Board,SRV-ORP
Atlas Scientific Surveyor Analog pH Sensor/Meter Board,SRV-pH
Atlas Scientific EZO pH Measurement Circuit - Digital pH,EZO-pH
Atlas Scientific EZO-CO2 Research Grade CO2 Sensor,EZO-CO2
Atlas Scientific EZO RTD Temperature Measurement Circuit,EZO-RTD
Atlas Scientific EZO Dissolved Oxygen Kit DX - Premium DO Kit,KIT-103DX
Atlas Scientific pH 4.00 Calibration Solution - 25 Pouches,ASPH4P-25
Atlas Scientific pH 7.00 Calibration Solution - 25 Pouches,ASPH7P-25
Atlas Scientific pH 10.00 Calibration Solution - 25 Pouches,ASPH10P-25
Atlas Scientific EZO pH Kit - Complete Digital pH Sensor Kit,KIT-101P
Atlas Scientific EZO-O2 Embedded Oxygen Sensor - Stainless Steel,EZO-o2-S
Atlas Scientific Basic EZO Inline Voltage Isolator,BE-IVI
Pololu USB AVR Programmer - ISP/TTL Serial Debug Tool,POL1300
BBC micro:bit V2.2 Educational Kit,MICROBIT-V2.2-KIT
JSumo JS4311 Aluminum-Silicone Wheel 43x11mm Pair,JS15479
JSumo JS4320 Aluminum-Silicone Wheel 43x20mm 4mm Hole,JS20786
JSumo JS2622 Replacement Silicone Tyres Pair,JS19446
JSumo Atom Silicone Wheel 37x34mm Pair,JS15478
JSumo Plastic Caster Wheel,JS15326
JSumo SLT20P Silicone Wheel Pair,JS15434
JSumo Shogun Mini Sumo Robot Kit,JS19926
JSumo Predator Mini Sumo Robot Kit,JS15629
JSumo Mini Katana Blade,JS15556
JSumo JS40F Mini Digital Sensor 40cm,JS16160
JSumo JS200XF Long-Range IR Sensor,JS19327
JSumo JS4030 Rubber Wheel Pair,JS15474
JSumo JS2622 Silicone Wheel Pair,JS16444
JSumo Core 6V 400 RPM,JS16544
JSumo Genesis Robot Controller Mainboard,JS15450
JSumo Bolt PID Line Follower Kit (No Battery),JS15331
JSumo Storm Line Follower Kit,JS16345
JSumo XS1 Micro Sumo Robot Kit,JS20334
JSumo Frog Mini Sumo Robot Kit,JS15512
JSumo M1 Mini Sumo Robot Kit,M1KIT
Adafruit LTR390 UV Light Sensor - STEMMA QT/Qwiic,4831
Adafruit AHT20 Temperature & Humidity Sensor - STEMMA QT,4566
Adafruit APDS9960 Proximity/Light/RGB/Gesture Sensor STEMMA,3595
Adafruit TSL2591 High Dynamic Range Light Sensor - STEMMA QT,1980
Adafruit Feather RP2040 - Raspberry Pi RP2040 Dev Board,4884
Adafruit BME280 Temperature/Humidity/Pressure Sensor - STEMMA QT,2652-A
Adafruit SGP40 Air Quality VOC Sensor - STEMMA QT/Qwiic,4829
Adafruit LPS35HW Water-Resistant Pressure Sensor - STEMMA QT,4258
Adafruit MLX90640 IR Thermal Camera Breakout - 55° FOV,4407
USB Mini Hub with Power Switch - 4-Port Portable Hub,2998
"Adafruit Stainless Steel Conductive Thread - 3-ply, 18m (60ft)",641
Adafruit Feather M0 Adalogger - ATSAMD21 with SD Card Slot,2796-A
"Adafruit Pi Camera Case with 1/4"" Tripod Mount - 3253",3253
Adafruit Feather M0 Bluefruit LE - ATSAMD21 with BLE,2995
Adafruit Si5351A Clock Generator Breakout - 8kHz to 160MHz,2045-A
Adafruit RFM96W LoRa Radio Transceiver Breakout - 433MHz,3073
Adafruit TPL5110 Low Power Timer Breakout,3435
Adafruit ADXL375 High-G Accelerometer ±200g - STEMMA QT/Qwiic,5374
Adafruit MAX31865 PT100 RTD Temperature Sensor Amplifier,3328
Adafruit Electret Microphone Amplifier MAX4466 - Adjustable Gain,1063
"HDMI 8"" LCD Screen Kit",HDMI-8-LCD
Pimoroni Enviro + Air Quality HAT for Raspberry Pi,PIM458
Pimoroni Enviro Urban Pico W Enviro Urban Only,PIM629
Pimoroni Enviro Weather Pico W Board Only,PIM628
Pimoroni Enviro for Raspberry Pi - Environmental Sensor HAT,PIM486
Pimoroni Particulate Matter Sensor Breakout,PIM477
Pimoroni NVMe Base for Raspberry Pi 5 - PCIe SSD Adapter,PIM699
MLX90640 Thermal Camera Breakout (Pimoroni),PIM365
Pimoroni Pirate Audio Dual Microphone for Raspberry Pi,PIM524
Pimoroni Pirate Audio Headphone Amp for Raspberry Pi,PIM482
Pimoroni Pirate Audio Line-Out for Raspberry Pi,PIM483
Pimoroni Pirate Audio 3W Stereo Amp for Raspberry Pi,PIM484
"Pimoroni HyperPixel 4.0 - Hi-Res 800x480 Pi Display, Touch",PIM369
Pimoroni HyperPixel 4.0 Square - 720x720 Touch Display,PIM470
"Pimoroni HyperPixel 4.0 - Hi-Res 800x480 Pi Display, Non-Touch",PIM370
Pimoroni Pirate Audio Speaker for Raspberry Pi,PIM485
ACEBOTT PS3 Wireless Remote Controller Expansion Pack for QD001,QD010
ACEBOTT GPS Expansion Pack for QD001 - Location Tracking,QD009
ACEBOTT Solar Energy Expansion Pack for QD001,QD008
